whova2016,whova2022
Id10173_nc/ref,Id10190_b
Id10173_nc/stridor,Id10189
Id10173_nc/wheezing,Id10189_1
id10173_check,Id10191
Id10173_a,Id10192
Id10173,Id10194
Id10174,Id10195
Id10175,id10196_unit
Id10176,Id10196
Id10178_unit,Id10197_a
Id10178,Id10198
Id10179,Id10197
Id10179_1,Id10199
Id10181,Id10199/lower_left
Id10182_units,Id10199/lower_right
Id10182_a,Id10200
Id10182_b,Id10201_unit
Id10182,Id10201_a
Id10183,Id10202
Id10184_a,Id10201
Id10184_units,Id10203
Id10184_b,Id10204
Id10184_c,Id10205_unit
Id10185,Id10205_a
Id10186,Id10206
Id10187,Id10205
Id10188,Id10207
Id10189,Id10208
Id10190_units,Id10209_units
Id10190_a,Id10209_a
Id10190_b,Id10209_b
Id10191,Id10209
Id10192,Id10212
Id10193,Id10213_units
Id10194,Id10213_a
Id10195,Id10213_b
id10196_unit,Id10213
Id10196,Id10214
Id10197_a,Id10216_units
Id10198,Id10216_a
Id10197,Id10216_b
Id10199,Id10216
Id10200,Id10217
Id10201_unit,Id10220
Id10201_a,Id10222
Id10202,Id10275
Id10201,Id10276
Id10203,Id10223
Id10204,Id10226
Id10205_unit,Id10224
Id10205_a,Id10230
Id10206,Id10231
Id10205,Id10232_units
Id10207,Id10232_a
Id10208,Id10232_b
Id10209_units,Id10232
Id10209_a,Id10227
Id10209_b,Id10229
Id10209,Id10233
Id10210,Id10234
Id10211_units,Id10235
Id10211_a,Id10236
Id10211_b,Id10237
Id10211,Id10238
Id10212,Id10239
Id10213_units,Id10240
Id10213_a,Id10242
Id10213_b,Id10243
Id10213,Id10244
Id10214,Id10245
Id10215,Id10246
Id10216_units,Id10247
Id10216_a,Id10248_units
Id10216_b,Id10248_a
Id10216,Id10248_b
Id10217,Id10248
Id10218,Id10249
Id10219,Id10250_units
Id10220,Id10250_a
Id10221,Id10250_b
Id10222,Id10250
Id10223,Id10251
Id10225,Id10252
Id10226,Id10254
Id10224,Id10253
Id10227,Id10255
Id10228,Id10256
Id10229,Id10257
Id10230,Id10258
Id10231,Id10259
Id10232_units,Id10260
Id10232_a,Id10261
Id10232_b,Id10262_units
Id10232,Id10262_a
Id10233,Id10262_b
Id10234,Id10262
Id10235,Id10262_c
Id10235/everywhere,Id10265
Id10235/extremities,Id10266_units
Id10235/face,Id10266_a
Id10235/Ref,Id10266_b
Id10235/trunk,Id10266
id10235_check,Id10267
Id10236,Id10268
Id10237,Id10269
Id10238,Id10271
Id10239,Id10272
Id10240,Id10273
Id10241,Id10274_a
Id10242,Id10274_units
Id10243,Id10274_b
Id10244,Id10274_c
Id10245,Id10274
Id10246,Id10277
Id10247,Id10278
Id10248_units,Id10279
Id10248_a,Id10281
Id10248_b,Id10282
Id10248,Id10283
Id10249,Id10284
Id10250_units,Id10286
Id10250_a,Id10287
Id10250_b,Id10288
Id10250,Id10289
Id10251,Id10485
Id10252,Id10486
Id10253,Id10294
Id10254,Id10296
Id10255,Id10299
Id10256,Id10300
Id10257,Id10301
Id10258,Id10302
Id10259,Id10303
Id10260,Id10305
Id10260/DK,Id10312
Id10260/left_side,Id10313
Id10260/lower_part_of_body,Id10314
Id10260/one_arm_only,Id10306
Id10260/one_leg_only,Id10334
Id10260/other,Id10333
Id10260/Ref,Id10308
Id10260/right_side,Id10310
Id10260/upper_part_of_body,Id10304
Id10260/whole_body,Id10304_a
id10260_check,Id10309
id10260_check2,Id10317
Id10261,Id10321
Id10262_units,Id10322_a
Id10262_a,Id10325
Id10262_b,Id10327
Id10262,Id10323
Id10263,Id10324
Id10264,Id10328
Id10265,Id10329_a
Id10266_units,Id10329_b
Id10266_a,Id10322_b
Id10266_b,Id10331
Id10266,Id10332
Id10267,Id10342
Id10268,Id10343
Id10269,Id10344
Id10270,Id10330
Id10271,Id10337
Id10272,Id10319
Id10273,Id10320
Id10274_a,Id10340
Id10274_units,Id10354
Id10274_b,Id10366_check
Id10274_c,n10366
Id10274,Id10366
Id10275,Id10363
Id10276,Id10365
Id10277,Id10367
Id10278,Id10369
Id10279,Id10370
Id10281,Id10371
Id10282,Id10372
Id10283,Id10373
Id10284,Id10382
Id10285,Id10383
Id10286,Id10384
Id10287,Id10385
Id10288,Id10387
Id10289,Id10388
Id10290,Id10389
Id10485,Id10391
Id10486,Id10393
Id10294,Id10395
Id10295,Id10396
Id10296,Id10397
Id10297,Id10398
Id10298,Id10399
Id10301,Id10400
Id10299,Id10401
Id10302,Id10402
Id10303,Id10403
Id10300,Id10404
Id10304,Id10405
Id10305,Id10406
Id10306,Id10411
Id10307,Id10413
Id10308,Id10413_a
Id10309,Id10413_d
Id10310,Id10413_b
Id10310_check,Id10414
Id10312,Id10414_a
Id10313,Id10414_d
Id10314,Id10414_b
Id10315_a,Id10418
Id10315,Id10419
Id10316,Id10420
Id10317,Id10421
Id10318,Id10422
Id10319,Id10423
Id10320,Id10424
Id10321,Id10425
Id10322,Id10426
Id10323,Id10435
Id10324,Id10436
Id10325,Id10446
Id10326,botecrn
Id10327,Id10069_a
Id10328,Id10070
Id10329,Id10071_check
Id10330,Id10071
Id10331,Id10072
Id10332,Id10073
Id10333,TZ001
Id10334,TZ002
Id10335,TZ002_other
Id10336,TZ003
Id10337,TZ004
Id10338,TZ004_other
Id10339,TZ005
Id10342,TZ005_a
Id10343,noteccd
Id10344,Id10462
Id10347,Id10463
Id10340,Id10464
Id10352_units,Id10465
Id10352_a,Id10466
Id10352_b,Id10467
Id10352,Id10468
Id10354,Id10469
Id10355,Id10470
Id10356,Id10471
Id10357,Id10472
Id10358_units,Id10473
Id10358,Id10481
Id10359,noteend
Id10359_a,comment
Id10360,gps_location-Latitude
Id10361,gps_location-Longitude
Id10362,gps_location-Altitude
Id10363,gps_location-Accuracy
Id10364,gps_details
Id10365,vaid
id1036X_check,audit
Id10366,instanceID
Id10367,instanceName
Id10368,KEY
Id10369,SubmitterID
Id10370,SubmitterName
Id10371,AttachmentsPresent
Id10372,AttachmentsExpected
Id10373,Status
Id10394,ReviewState
Id10376,DeviceID
Id10377,Edits
Id10379_unit,FormVersion
Id10379,
Id10380,
Id10382,
Id10383,
Id10384,
Id10385,
Id10387,
Id10388,
Id10389,
id10389_check,
Id10391,
Id10392,
Id10393,
Id10395,
Id10396,
Id10397,
Id10398,
Id10399,
Id10400,
Id10401,
Id10402,
Id10403,
Id10404,
Id10405,
Id10406,
Id10411,
Id10412,
Id10413,
Id10414,
id10414_check,
Id10415,
Id10416,
Id10418,
Id10419,
Id10420,
Id10421,
Id10422,
Id10423,
Id10424,
Id10425,
Id10426,
Id10427,
Id10428,
Id10429,
Id10430,
Id10431,
Id10431/BCG,
Id10431/dk,
Id10431/DPT_123,
Id10431/HepB,
Id10431/Hib,
Id10431/Measles,
Id10431/Meningitis,
Id10431/Penta_123,
Id10431/Pneumo,
Id10431/Polio_123,
Id10431/Rota,
id10431_check,
Id10432,
Id10433,
Id10433/community_based_pract_system,
Id10433/dk,
Id10433/government_hospital,
Id10433/govment_health_center_or_clinic,
Id10433/homeopath,
Id10433/pharmacy,
Id10433/private_hospital,
Id10433/private_physician,
Id10433/relative_friend,
Id10433/religious_leader,
Id10433/traditional_healer,
Id10433/trained_birth_attendant,
id10433_check,
Id10434,
Id10435,
Id10436,
Id10437,
Id10438,
Id10439_check,
Id10439,
Id10440_check,
Id10440,
Id10441_check,
Id10441,
Id10442,
Id10443,
Id10444,
Id10445,
Id10446,
Id10450,
Id10451,
Id10452,
Id10453,
Id10454,
Id10455,
Id10456,
Id10457,
Id10458,
Id10459,
TZ001,
TZ002,
TZ002_other,
TZ003,
TZ004,
TZ004_other,
TZ005,
TZ005_a,
Id10476,
Id10477,
Id10477/Chronic_kidney_disease,
Id10477/Dialysis,
Id10477/dk,
Id10477/Fever,
Id10477/Heart_attack,
Id10477/Heart_problem,
Id10477/Jaundice,
Id10477/Liver_failure,
Id10477/Malaria,
Id10477/None,
Id10477/Pneumonia,
Id10477/Renal_kidney_failure,
Id10477/Suicide,
Id10478,
Id10478/abdomen,
Id10478/cancer,
Id10478/dehydration,
Id10478/dengue,
Id10478/diarrhea,
Id10478/dk,
Id10478/fever,
Id10478/heart_problem,
Id10478/jaundice,
Id10478/None,
Id10478/pneumonia,
Id10478/rash,
Id10479,
Id10479/dk,
Id10479/lung_problem,
Id10479/None,
Id10479/pneumonia,
Id10479/preterm_delivery,
Id10479/respiratory_distress,
id10477_check,
id10478_check,
id10479_check,
Id10481,
comment,
gps_location-Latitude,
gps_location-Longitude,
gps_location-Altitude,
gps_location-Accuracy,
gps_details,
vaid,
instanceID,
instanceName,
KEY,
SubmitterID,
SubmitterName,
AttachmentsPresent,
AttachmentsExpected,
Status,
ReviewState,
DeviceID,
Edits,
FormVersion,
